devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,datetime,location
0004a30b001febcf,-115,-11.3,868100000,3,2,1,LOC3,2019-04-23 16:11:00.964975,svpt

0004a30b001febcf,-114,-4.3,868100000,4,0,1,LOC5,2019-04-23 16:11:43.086447,svpt

0004a30b001febcf,-113,-8,868300000,4,0,1,LOC5,2019-04-23 16:11:51.392947,svpt

0004a30b001febcf,-114,-6,868500000,3,0,1,LOC5,2019-04-23 16:11:55.817281,svpt

0004a30b001febcf,-114,-5.5,868100000,5,1,1,LOC6,2019-04-23 16:12:08.238390,svpt

0004a30b001febcf,-114,-3.8,868100000,5,2,1,LOC7,2019-04-23 16:12:23.814885,svpt

0004a30b001febcf,-114,-2.3,868100000,5,3,1,LOC8,2019-04-23 16:12:40.430469,svpt

0004a30b001febcf,-112,-3,868100000,3,0,1,LOC9,2019-04-23 16:13:19.060139,svpt

0004a30b001febcf,-114,-6,868500000,5,1,1,LOC11,2019-04-23 16:13:38.577924,svpt

0004a30b001febcf,-112,-4.5,868100000,5,0,1,LOC12,2019-04-23 16:14:14.503706,svpt

0004a30b001febcf,-114,-2.8,868100000,3,0,1,LOC12,2019-04-23 16:14:37.888364,svpt

0004a30b001febcf,-113,-3,868100000,5,2,1,LOC14,2019-04-23 16:15:30.526183,svpt

0004a30b001febcf,-114,-3.5,868100000,5,3,1,LOC15,2019-04-23 16:15:46.092932,svpt

0004a30b001febcf,-115,-7.5,868100000,5,4,1,LOC16,2019-04-23 16:16:03.963899,svpt

0004a30b001febcf,-115,-7,868100000,5,5,1,LOC17,2019-04-23 16:16:21.783310,svpt

0004a30b001febcf,-113,-7.3,868100000,5,6,1,LOC18,2019-04-23 16:16:37.600786,svpt

0004a30b001febcf,-114,-4.5,868100000,5,0,1,LOC18,2019-04-23 16:16:43.275245,svpt

0004a30b001febcf,-114,-2.5,868100000,4,1,1,LOC19,2019-04-23 16:17:01.142001,svpt

0004a30b001febcf,-114,-5.5,868500000,4,2,1,LOC20,2019-04-23 16:17:27.404202,svpt

0004a30b001febcf,-111,-2.5,868100000,5,3,1,LOC21,2019-04-23 16:17:32.716632,svpt

0004a30b001febcf,-113,-1.5,868100000,5,0,1,LOC22,2019-04-23 16:18:09.587780,svpt

0004a30b001febcf,-111,-1.5,868500000,5,1,1,LOC23,2019-04-23 16:18:23.103562,svpt

0004a30b001febcf,-114,-12,868100000,3,2,1,LOC24,2019-04-23 16:18:49.779405,svpt

0004a30b001febcf,-114,-3,868100000,5,0,1,LOC26,2019-04-23 16:19:21.299456,svpt

0004a30b001febcf,-111,-1.8,868100000,4,1,1,LOC27,2019-04-23 16:19:39.169857,svpt

0004a30b001febcf,-113,-6.5,868500000,4,2,1,LOC28,2019-04-23 16:20:01.139997,svpt

0004a30b001febcf,-113,-4,868100000,5,3,1,LOC29,2019-04-23 16:20:10.697175,svpt

