devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,time
0004a30b0020096f,-55,9.8,868500000,5,53,1,PA==,2019-02-26 22:26:49.348594
0004a30b0020096f,-54,8,868500000,5,54,1,rg==,2019-02-26 22:26:58.527754
0004a30b0020096f,-55,9.5,868100000,5,55,1,5g==,2019-02-26 22:27:07.644169
0004a30b0020096f,-55,9.5,868300000,5,56,1,xg==,2019-02-26 22:27:16.816665
0004a30b0020096f,-57,9.5,868500000,5,57,1,yw==,2019-02-26 22:27:25.924969
0004a30b0020096f,-54,8.5,868500000,5,58,1,9Q==,2019-02-26 22:27:39.371595
0004a30b0020096f,-55,11.5,868300000,4,59,1,uA==,2019-02-26 22:27:48.555868
0004a30b0020096f,-45,9,868500000,5,60,1,Gw==,2019-02-26 22:27:57.754449
0004a30b0020096f,-53,9,868500000,5,61,1,8g==,2019-02-26 22:28:06.933653
0004a30b0020096f,-55,9,868100000,5,62,1,CQ==,2019-02-26 22:28:16.106532
0004a30b0020096f,-57,8.8,868100000,5,63,1,dw==,2019-02-26 22:28:25.203358
0004a30b0020096f,-57,9,868300000,5,64,1,nQ==,2019-02-26 22:28:34.341651
0004a30b001febcf,-39,9,868100000,5,6,1,LOC11,2019-03-09 01:20:01.185128
0004a30b0020096f,-39,10.5,868100000,5,47,1,"0,0,0",2019-03-09 01:20:03.840948
0004a30b001febcf,-39,9,868300000,5,7,1,LOC12,2019-03-09 01:20:05.304225
0004a30b0020096f,-41,8.8,868300000,5,48,1,"0,0,0",2019-03-09 01:20:07.964627
0004a30b001febcf,-40,9,868500000,5,8,1,LOC13,2019-03-09 01:20:09.479109
0004a30b0020096f,-40,9.3,868500000,5,49,1,"0,0,0",2019-03-09 01:20:12.103170
0004a30b001febcf,-36,9.3,868100000,5,9,1,LOC14,2019-03-09 01:20:16.678061
0004a30b0020096f,-42,10.5,868100000,5,50,1,"0,0,0",2019-03-09 01:20:20.388972
0004a30b001febcf,-37,9,868300000,5,10,1,LOC15,2019-03-09 01:20:21.817029
0004a30b0020096f,-42,9.5,868500000,5,51,1,"0,0,0",2019-03-09 01:20:24.483804
0004a30b001febcf,-39,9,868500000,5,11,1,LOC16,2019-03-09 01:20:25.948101
0004a30b0020096f,-39,9,868300000,5,52,1,"0,0,0",2019-03-09 01:20:28.563292
0004a30b0020096f,-41,9.8,868100000,5,53,1,"0,0,0",2019-03-09 01:20:32.691657
0004a30b001febcf,-39,9.3,868300000,5,12,1,LOC17,2019-03-09 01:20:37.409285
0004a30b0020096f,-41,9,868500000,5,54,1,"0,0,0",2019-03-09 01:20:40.986054
0004a30b001febcf,-39,11.8,868500000,4,13,1,LOC18,2019-03-09 01:20:41.660512
0004a30b0020096f,-42,9.5,868300000,5,54,1,"0,0,0",2019-03-09 01:20:45.266236
0004a30b001febcf,-36,10,868100000,5,14,1,LOC19,2019-03-09 01:20:48.881790
0004a30b0020096f,-40,10.8,868100000,4,55,1,"0,0,0",2019-03-09 01:20:50.677392
0004a30b001febcf,-36,9,868300000,5,15,1,LOC20,2019-03-09 01:20:54.022554
0004a30b0020096f,-42,9.8,868500000,5,56,1,"0,0,0",2019-03-09 01:20:58.831150
0004a30b0020096f,-41,9.8,868300000,5,56,1,"0,0,0",2019-03-09 01:21:03.159885
0004a30b001febcf,-39,9.8,868100000,5,16,1,LOC21,2019-03-09 01:21:06.228294
0004a30b001febcf,-39,9.8,868300000,5,17,1,LOC22,2019-03-09 01:21:10.391428
0004a30b001febcf,-41,9.3,868500000,5,18,1,LOC23,2019-03-09 01:21:14.554910
0004a30b0020096f,-42,10,868500000,5,57,1,"0,0,0",2019-03-09 01:21:15.371825
0004a30b0020096f,-35,9.8,868300000,5,58,1,"0,0,0",2019-03-09 01:21:19.492517
0004a30b001febcf,-39,9.8,868100000,5,18,1,LOC23,2019-03-09 01:21:22.816506
0004a30b0020096f,-38,10,868100000,5,58,1,"0,0,0",2019-03-09 01:21:23.790463
0004a30b001febcf,-41,9.5,868300000,5,18,1,LOC23,2019-03-09 01:21:27.100627
0004a30b001febcf,-37,11,868500000,4,19,1,LOC24,2019-03-09 01:21:31.325162
0004a30b0020096f,-42,10.8,868500000,4,58,1,"0,0,0",2019-03-09 01:21:32.099180
0004a30b0020096f,-41,10.3,868300000,5,59,1,"0,0,0",2019-03-09 01:21:37.316915
0004a30b001febcf,-37,11.3,868100000,4,19,1,LOC24,2019-03-09 01:21:39.640057
0004a30b0020096f,-41,10.3,868100000,5,60,1,"0,0,0",2019-03-09 01:21:41.457547
0004a30b001febcf,-37,9,868300000,5,20,1,LOC25,2019-03-09 01:21:43.830261
0004a30b0020096f,-39,9,868100000,5,61,1,"0,0,0",2019-03-09 01:21:53.744165
0004a30b001febcf,-41,8.8,868500000,5,21,1,LOC26,2019-03-09 01:21:56.070307
0004a30b0020096f,-40,10.3,868300000,5,62,1,"0,0,0",2019-03-09 01:21:57.892761
0004a30b001febcf,-39,9.3,868300000,5,22,1,LOC27,2019-03-09 01:22:00.262705
0004a30b0020096f,-41,9.5,868500000,5,62,1,"0,0,0",2019-03-09 01:22:02.187355
0004a30b001febcf,-41,9.8,868100000,5,23,1,LOC28,2019-03-09 01:22:07.398839
0004a30b0020096f,-35,11.3,868300000,4,62,1,"0,0,0",2019-03-09 01:22:10.522141
0004a30b001febcf,-41,10.5,868500000,5,24,1,LOC29,2019-03-09 01:22:12.549262
0004a30b0020096f,-39,10.3,868100000,5,63,1,"0,0,0",2019-03-09 01:22:14.421867
0004a30b001febcf,-37,8.5,868300000,5,25,1,LOC30,2019-03-09 01:22:16.734687
0004a30b001febcf,-39,10,868100000,5,26,1,LOC31,2019-03-09 01:22:22.907641
0004a30b0020096f,-41,9.8,868500000,5,64,1,"0,0,0",2019-03-09 01:22:24.073044
0004a30b001febcf,-38,8.8,868500000,5,27,1,LOC32,2019-03-09 01:22:28.039619
0004a30b0020096f,-37,9,868100000,5,64,1,"0,0,0",2019-03-09 01:22:30.345019
0004a30b0020096f,-40,9.8,868500000,5,65,1,"0,0,0",2019-03-09 01:22:32.328030
0004a30b001febcf,-39,10,868300000,5,28,1,LOC33,2019-03-09 01:22:33.237252
0004a30b001febcf,-37,9,868100000,5,29,1,LOC34,2019-03-09 01:22:39.406063
0004a30b0020096f,-41,10.3,868300000,5,66,1,"0,0,0",2019-03-09 01:22:40.567853
